,actual,predicted
0,3.25,[2.82437576]
1,3.99,[3.7602778]
2,5.09,[5.70012593]
3,0.6,[1.56620658]
4,7.03,[7.17551942]
5,22.75,[21.83052682]
6,4.25,[4.79610687]
7,25.72,[27.13680686]
8,2.49,[3.93205421]
9,8.27,[9.06696361]
10,6.0,[6.54273588]
11,10.95,[12.39315737]
12,7.2,[7.90581167]
13,32.5,[33.365357]
14,9.29,[8.91405534]
15,5.9,[4.7627426]
16,11.37,[9.9334654]
17,5.5,[5.46913666]
18,8.95,[10.93784021]
19,7.8,[7.11527422]
20,12.41,[12.49565256]
21,6.85,[8.06419665]
22,9.75,[10.25330134]
23,1.99,[3.19343773]
24,8.25,[9.71415287]
25,6.5,[6.67323474]
26,12.49,[12.59868935]
27,21.95,[21.60351876]
28,6.15,[6.72945412]
29,2.5,[2.24691289]
30,30.35,[29.38201525]
31,19.05,[19.36249654]
32,3.31,[1.68196919]
33,16.61,[15.73575987]
34,6.2,[6.64525146]
35,3.84,[3.23119158]
36,6.99,[7.91469833]
37,0.75,[1.15968172]
38,6.45,[5.20931079]
39,5.85,[5.05714491]
40,48.76,[50.48547528]
41,5.75,[6.35510593]
42,4.85,[5.30064411]
43,1.75,[1.08408801]
44,4.5,[5.23616548]
45,8.9,[8.94446524]
46,3.0,[4.02633104]
47,9.5,[9.53112379]
48,12.8,[12.01428726]
49,3.59,[3.20743413]
50,13.9,[21.01561921]
51,5.5,[6.85876013]
52,4.75,[4.69471835]
53,21.75,[22.34541751]
54,13.19,[16.55370466]
55,14.95,[14.24143377]
56,4.8,[5.34262198]
57,4.85,[4.51008881]
58,6.56,[5.79037664]
59,35.68,[35.46600981]
60,6.85,[6.75886001]
61,7.25,[6.80042332]
62,6.89,[7.06675246]
63,2.5,[2.82770655]
64,17.5,[19.63877139]
65,6.22,[6.38640117]
66,4.01,[4.07618217]
67,23.0,[21.10070403]
68,1.74,[1.65545076]
69,4.25,[3.94653143]
70,4.26,[2.95501171]
71,6.35,[6.39104525]
72,4.2,[-0.4614965]
73,4.41,[3.10673874]
74,2.9,[2.60153328]
75,12.0,[12.34096149]
76,2.0,[2.01437457]
77,5.2,[5.40968112]
78,2.6,[2.73069147]
79,4.95,[5.69643739]
80,3.8,[4.28424154]
81,9.58,[9.46761717]
82,2.19,[2.10494722]
83,19.9,[21.49114823]
84,8.9,[7.49004856]
85,3.0,[2.44881278]
86,32.0,[40.79103756]
87,28.0,[26.03231787]
88,6.4,[7.00746975]
89,7.36,[9.00519989]
90,5.76,[4.74067804]
91,3.0,[-0.00820484]
92,45.52,[45.77826031]
93,2.4,[0.55254909]
94,5.74,[4.99298124]
95,22.0,[24.97679399]
96,2.69,[1.7051922]
97,8.08,[7.94325069]
98,19.0,[19.72376011]
99,4.8,[5.34055361]
100,9.95,[9.51617418]
101,14.05,[15.09896057]
102,3.6,[3.8137815]
103,8.25,[8.72232049]
104,6.57,[5.24038469]
105,1.75,[1.77658645]
106,4.5,[5.93801896]
107,3.55,[2.84882198]
108,9.11,[5.77292408]
109,3.9,[4.22015021]
110,6.3,[6.52286836]
111,5.22,[5.76574011]
112,4.7,[2.28183893]
113,3.9,[4.08101895]
114,7.5,[7.65374372]
115,10.75,[11.03973393]
116,2.9,[1.79330699]
117,3.1,[2.70558643]
118,6.0,[8.00186844]
119,5.0,[5.9590325]
120,42.0,[40.78260977]
121,5.7,[6.31681669]
122,3.5,[3.9861874]
123,0.8,[1.70455035]
124,19.64,[23.43949982]
125,8.22,[8.22600111]
126,2.3,[1.29003478]
127,6.25,[4.67266728]
128,1.4,[0.81364119]
129,5.85,[5.8735917]
130,4.49,[4.75511853]
131,36.64,[37.53726573]
132,7.25,[7.37070499]
133,1.4,[1.51487732]
134,8.5,[9.2255534]
135,5.9,[5.40378436]
136,6.67,[6.38206363]
137,3.5,[3.17763592]
138,17.0,[13.70601976]
139,11.5,[13.85578528]
140,4.5,[5.01588573]
141,3.87,[3.45524223]
142,16.0,[18.23179729]
143,39.75,[37.81511052]
144,6.75,[7.39273532]
145,6.85,[6.64803817]
146,18.0,[16.53478865]
147,2.45,[2.04591526]
148,3.5,[3.62905715]
149,2.75,[2.59035918]
150,13.5,[14.17237995]
151,3.5,[3.22056763]
152,4.5,[9.96194037]
153,6.25,[7.33283378]
154,13.49,[14.43461631]
155,2.9,[2.51572193]
156,3.0,[3.86307038]
157,11.05,[12.65424943]
158,4.75,[3.29049648]
159,2.5,[3.60379609]
160,5.5,[3.93574055]
161,1.09,[0.70118485]
162,2.61,[1.4217319]
163,20.67,[21.64186164]
164,11.95,[11.41157021]
165,10.75,[9.65639434]
166,4.95,[4.5851179]
167,8.8,[12.41844722]
168,4.0,[4.01253672]
169,6.91,[6.53327693]
170,28.0,[32.00814864]
171,1.2,[0.07638428]
172,32.0,[37.84841614]
173,6.43,[6.0698751]
174,4.68,[4.89091686]
175,4.4,[4.12921207]
176,4.0,[3.72341022]
177,3.2,[2.84009806]
178,10.75,[12.69161274]
179,2.1,[3.28731827]
180,6.1,[5.94879259]
181,14.5,[16.06733197]
182,4.1,[4.20988246]
183,6.25,[6.87837479]
184,9.75,[10.90689737]
185,2.5,[2.19679934]
186,6.75,[6.29274126]
187,3.22,[2.20050874]
188,3.2,[3.22111002]
189,4.0,[4.48018901]
190,6.5,[6.95371243]
191,6.9,[6.72921656]
192,5.0,[6.83460818]
193,14.14,[14.09454089]
194,2.25,[3.24868958]
195,5.48,[5.49828011]
196,6.25,[5.2334237]
197,9.31,[9.44350202]
198,3.0,[1.86550257]
199,3.85,[4.45591293]
200,11.79,[9.7084472]
201,16.08,[15.81766665]
202,5.64,[6.53571093]
203,3.25,[3.74866187]
204,27.0,[28.59708108]
205,2.9,[2.71067323]
206,11.9,[12.16084211]
207,4.9,[4.54683069]
208,2.64,[0.62042231]
209,29.5,[25.25108874]
210,23.0,[22.91942152]
211,45.0,[42.67338272]
212,4.3,[4.04558858]
213,4.22,[4.3605826]
214,16.85,[18.81485571]
215,3.96,[4.83851724]
216,1.65,[0.64495883]
217,7.5,[7.51898159]
218,1.85,[0.59575713]
219,6.16,[6.55763323]
220,0.53,[-0.29666701]
221,6.85,[6.66774565]
222,3.5,[3.58536216]
223,29.4,[31.08625649]
224,10.82,[9.48778507]
225,2.5,[2.08652273]
226,21.5,[21.08906474]
227,9.87,[13.21546589]
228,6.75,[8.24774652]
229,7.5,[7.02668882]
230,8.95,[12.22237891]
231,3.25,[3.80190186]
232,1.95,[1.39460357]
233,32.0,[31.1277017]
234,5.7,[5.96149187]
235,3.5,[4.93444247]
236,14.82,[13.74125396]
237,10.5,[11.71209204]
238,3.79,[3.63514936]
239,31.55,[30.19537429]
240,26.5,[27.8164399]
