,actual,predicted
0,3.25,[3.00470955]
1,3.99,[3.75768134]
2,5.09,[5.44513959]
3,0.6,[1.60897196]
4,7.03,[6.99168203]
5,22.75,[21.86709563]
6,4.25,[4.90179259]
7,25.72,[27.3956641]
8,2.49,[3.94166136]
9,8.27,[9.09510185]
10,6.0,[6.55298097]
11,10.95,[12.40713259]
12,7.2,[7.54328191]
13,32.5,[33.35235828]
14,9.29,[8.93324755]
15,5.9,[4.65323825]
16,11.37,[10.11382153]
17,5.5,[5.44066745]
18,8.95,[10.42833006]
19,7.8,[7.20282743]
20,12.41,[12.30287842]
21,6.85,[8.15361889]
22,9.75,[10.44046215]
23,1.99,[3.06489662]
24,8.25,[9.714338]
25,6.5,[6.71698519]
26,12.49,[12.59144428]
27,21.95,[21.58813547]
28,6.15,[7.07851837]
29,2.5,[2.25198788]
30,30.35,[29.38944418]
31,19.05,[19.3591592]
32,3.31,[1.42034619]
33,16.61,[15.70427407]
34,6.2,[6.61416774]
35,3.84,[3.38789251]
36,6.99,[7.94115223]
37,0.75,[1.01241425]
38,6.45,[5.2637138]
39,5.85,[4.84941989]
40,48.76,[50.39415814]
41,5.75,[6.33977671]
42,4.85,[5.24350379]
43,1.75,[1.08926213]
44,4.5,[5.21963115]
45,8.9,[8.96572191]
46,3.0,[3.86022252]
47,9.5,[9.59833439]
48,12.8,[12.17717061]
49,3.59,[3.43373028]
50,13.9,[21.24536757]
51,5.5,[6.64209308]
52,4.75,[4.73052764]
53,21.75,[22.36319678]
54,13.19,[16.54321459]
55,14.95,[14.22005644]
56,4.8,[5.29062528]
57,4.85,[4.78730809]
58,6.56,[5.82621278]
59,35.68,[35.4760854]
60,6.85,[6.71449797]
61,7.25,[7.24874259]
62,6.89,[7.05545424]
63,2.5,[2.78195698]
64,17.5,[19.47548671]
65,6.22,[6.35015944]
66,4.01,[4.06112287]
67,23.0,[21.22614985]
68,1.74,[1.62856538]
69,4.25,[4.12600161]
70,4.26,[2.46122438]
71,6.35,[6.40266151]
72,4.2,[-0.39737976]
73,4.41,[3.1127983]
74,2.9,[2.43436791]
75,12.0,[12.29320751]
76,2.0,[2.13422858]
77,5.2,[5.3175043]
78,2.6,[2.72787754]
79,4.95,[5.68442618]
80,3.8,[4.29687021]
81,9.58,[9.42175276]
82,2.19,[2.10911564]
83,19.9,[21.4999947]
84,8.9,[7.49043751]
85,3.0,[2.57613357]
86,32.0,[40.69747361]
87,28.0,[25.99994895]
88,6.4,[7.00123769]
89,7.36,[9.01832114]
90,5.76,[4.74389735]
91,3.0,[-0.37775578]
92,45.52,[45.79525628]
93,2.4,[0.71114955]
94,5.74,[5.404641]
95,22.0,[24.99012405]
96,2.69,[1.69888332]
97,8.08,[8.09752347]
98,19.0,[19.72028727]
99,4.8,[5.38409569]
100,9.95,[9.51887557]
101,14.05,[15.1157864]
102,3.6,[3.70226952]
103,8.25,[8.72364086]
104,6.57,[5.24954311]
105,1.75,[1.46913546]
106,4.5,[5.62217159]
107,3.55,[2.94263957]
108,9.11,[5.85560744]
109,3.9,[4.26969032]
110,6.3,[6.51428673]
111,5.22,[5.77803841]
112,4.7,[2.37854878]
113,3.9,[3.72012144]
114,7.5,[7.85342686]
115,10.75,[11.02796822]
116,2.9,[1.80101767]
117,3.1,[2.6982292]
118,6.0,[7.72520889]
119,5.0,[5.83431437]
120,42.0,[40.76861283]
121,5.7,[6.31798467]
122,3.5,[3.99970332]
123,0.8,[1.72000458]
124,19.64,[23.28923526]
125,8.22,[8.10356857]
126,2.3,[1.21903828]
127,6.25,[4.80928523]
128,1.4,[0.80194358]
129,5.85,[5.87720753]
130,4.49,[4.74432481]
131,36.64,[37.58568666]
132,7.25,[7.39008206]
133,1.4,[1.45185411]
134,8.5,[9.08020708]
135,5.9,[5.41596281]
136,6.67,[6.31437724]
137,3.5,[3.20386329]
138,17.0,[13.5539694]
139,11.5,[13.85535623]
140,4.5,[5.06521917]
141,3.87,[3.44051785]
142,16.0,[18.0062351]
143,39.75,[37.66527728]
144,6.75,[7.37791783]
145,6.85,[6.59524577]
146,18.0,[16.53249701]
147,2.45,[2.04163301]
148,3.5,[3.75884057]
149,2.75,[2.59494205]
150,13.5,[14.28858906]
151,3.5,[3.18925663]
152,4.5,[9.90061973]
153,6.25,[7.08604591]
154,13.49,[14.43922584]
155,2.9,[2.52313626]
156,3.0,[3.8790705]
157,11.05,[12.64413135]
158,4.75,[3.27936115]
159,2.5,[3.62618213]
160,5.5,[4.03973712]
161,1.09,[0.68065773]
162,2.61,[1.43335668]
163,20.67,[21.61487906]
164,11.95,[11.38380758]
165,10.75,[9.78147671]
166,4.95,[4.59313779]
167,8.8,[12.62727643]
168,4.0,[3.98678406]
169,6.91,[6.56291432]
170,28.0,[32.00124006]
171,1.2,[-0.31203234]
172,32.0,[37.81146783]
173,6.43,[6.06728064]
174,4.68,[4.86595899]
175,4.4,[4.31791579]
176,4.0,[3.66060407]
177,3.2,[2.8339573]
178,10.75,[12.78548556]
179,2.1,[3.30706785]
180,6.1,[5.96203457]
181,14.5,[16.03573651]
182,4.1,[4.23330613]
183,6.25,[6.86606326]
184,9.75,[11.07194767]
185,2.5,[2.20914452]
186,6.75,[6.28791409]
187,3.22,[2.22225322]
188,3.2,[3.28490454]
189,4.0,[4.47393361]
190,6.5,[7.22095319]
191,6.9,[6.53897992]
192,5.0,[6.85462909]
193,14.14,[14.11454599]
194,2.25,[3.2596157]
195,5.48,[5.38317909]
196,6.25,[5.19295127]
197,9.31,[9.82260916]
198,3.0,[2.01006687]
199,3.85,[4.51733882]
200,11.79,[9.70592898]
201,16.08,[15.78206615]
202,5.64,[6.07901965]
203,3.25,[3.64503151]
204,27.0,[28.57055124]
205,2.9,[2.63101958]
206,11.9,[12.14802236]
207,4.9,[4.55266402]
208,2.64,[0.56142667]
209,29.5,[25.22164778]
210,23.0,[23.02568331]
211,45.0,[42.53804605]
212,4.3,[4.19982119]
213,4.22,[4.30276986]
214,16.85,[18.69717961]
215,3.96,[4.81221466]
216,1.65,[1.20735336]
217,7.5,[7.52720287]
218,1.85,[1.10424192]
219,6.16,[6.77228849]
220,0.53,[0.12807814]
221,6.85,[6.56791347]
222,3.5,[3.59721319]
223,29.4,[31.14063488]
224,10.82,[9.3872371]
225,2.5,[2.07681297]
226,21.5,[21.09924919]
227,9.87,[13.27728051]
228,6.75,[8.22790305]
229,7.5,[7.11447437]
230,8.95,[12.22625605]
231,3.25,[3.78609696]
232,1.95,[1.42572839]
233,32.0,[31.28277374]
234,5.7,[6.01186848]
235,3.5,[4.82329757]
236,14.82,[13.74216384]
237,10.5,[11.73337782]
238,3.79,[3.58823802]
239,31.55,[30.27691006]
240,26.5,[27.55616828]
241,3.1,[3.69934061]
242,30.0,[30.00150743]
243,3.5,[2.53365298]
244,8.2,[8.88390537]
245,8.9,[9.45642705]
246,5.65,[4.40296071]
247,4.55,[5.2482955]
248,3.6,[1.81030341]
249,8.65,[8.75198189]
250,6.9,[6.19792394]
251,24.0,[21.76349262]
252,7.51,[9.07837563]
253,2.25,[2.15625356]
254,4.9,[5.48378513]
255,7.7,[5.85002801]
256,6.96,[6.04864565]
257,3.5,[2.73558732]
258,28.45,[27.70233175]
259,6.2,[5.99112427]
260,6.82,[7.27068622]
261,15.0,[15.61002059]
262,11.0,[13.83248401]
